# nThread 1 nGpus 1 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 5 iters: 20 validation: 1 
#
# Using devices
#   Rank  0 Pid  63365 on msrhpc-msccl-000000 device  0 [0x00] A100-SXM4-40GB
#
#                                                       out-of-place                       in-place          
#       size         count      type   redop     time   algbw   busbw  error     time   algbw   busbw  error
#        (B)    (elements)                       (us)  (GB/s)  (GB/s)            (us)  (GB/s)  (GB/s)       
           8             2     float     sum     4.47    0.00    0.00  0e+00     0.47    0.02    0.00  0e+00
          16             4     float     sum     4.47    0.00    0.00  0e+00     0.47    0.03    0.00  0e+00
          32             8     float     sum     4.42    0.01    0.00  0e+00     0.47    0.07    0.00  0e+00
          64            16     float     sum     4.52    0.01    0.00  0e+00     0.47    0.14    0.00  0e+00
         128            32     float     sum     4.55    0.03    0.00  0e+00     0.47    0.27    0.00  0e+00
         256            64     float     sum     4.57    0.06    0.00  0e+00     0.47    0.54    0.00  0e+00
         512           128     float     sum     4.61    0.11    0.00  0e+00     0.47    1.09    0.00  0e+00
        1024           256     float     sum     4.49    0.23    0.00  0e+00     0.47    2.17    0.00  0e+00
        2048           512     float     sum     4.40    0.47    0.00  0e+00     0.47    4.36    0.00  0e+00
        4096          1024     float     sum     4.47    0.92    0.00  0e+00     0.47    8.75    0.00  0e+00
        8192          2048     float     sum     4.47    1.83    0.00  0e+00     0.46   17.64    0.00  0e+00
       16384          4096     float     sum     4.52    3.62    0.00  0e+00     0.47   34.83    0.00  0e+00
       32768          8192     float     sum     4.50    7.28    0.00  0e+00     0.46   70.56    0.00  0e+00
       65536         16384     float     sum     4.51   14.52    0.00  0e+00     0.47  139.78    0.00  0e+00
      131072         32768     float     sum     4.49   29.22    0.00  0e+00     0.47  278.34    0.00  0e+00
      262144         65536     float     sum     4.50   58.24    0.00  0e+00     0.47  562.12    0.00  0e+00
      524288        131072     float     sum     4.43  118.34    0.00  0e+00     0.47  1111.13    0.00  0e+00
     1048576        262144     float     sum     5.26  199.35    0.00  0e+00     0.47  2210.55    0.00  0e+00
     2097152        524288     float     sum     7.11  294.78    0.00  0e+00     0.48  4397.47    0.00  0e+00
     4194304       1048576     float     sum    10.84  387.02    0.00  0e+00     0.45  9303.10    0.00  0e+00
     8388608       2097152     float     sum    16.78  499.81    0.00  0e+00     0.45  18503.60    0.00  0e+00
    16777216       4194304     float     sum    28.99  578.68    0.00  0e+00     0.47  35933.21    0.00  0e+00
    33554432       8388608     float     sum    54.81  612.16    0.00  0e+00     0.46  73689.32    0.00  0e+00
    67108864      16777216     float     sum    105.5  636.33    0.00  0e+00     0.47  141909.21    0.00  0e+00
   134217728      33554432     float     sum    206.1  651.23    0.00  0e+00     0.47  288082.70    0.00  0e+00
   268435456      67108864     float     sum    408.4  657.28    0.00  0e+00     0.48  564651.78    0.00  0e+00
   536870912     134217728     float     sum    814.5  659.13    0.00  0e+00     0.46  1173873.21    0.00  0e+00
  1073741824     268435456     float     sum   1620.4  662.63    0.00  0e+00     0.48  2251503.09    0.00  0e+00
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 0 
#
