# nThread 1 nGpus 2 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 5 iters: 20 validation: 1 
#
# Using devices
#   Rank  0 Pid  63389 on msrhpc-msccl-000000 device  0 [0x00] A100-SXM4-40GB
#   Rank  1 Pid  63389 on msrhpc-msccl-000000 device  1 [0x00] A100-SXM4-40GB
#
#                                                       out-of-place                       in-place          
#       size         count      type   redop     time   algbw   busbw  error     time   algbw   busbw  error
#        (B)    (elements)                       (us)  (GB/s)  (GB/s)            (us)  (GB/s)  (GB/s)       
           8             2     float     sum     8.65    0.00    0.00  0e+00     8.51    0.00    0.00  0e+00
          16             4     float     sum     8.68    0.00    0.00  0e+00     8.49    0.00    0.00  0e+00
          32             8     float     sum     8.76    0.00    0.00  0e+00     8.50    0.00    0.00  0e+00
          64            16     float     sum     8.69    0.01    0.01  0e+00     8.55    0.01    0.01  0e+00
         128            32     float     sum     8.63    0.01    0.01  0e+00     8.76    0.01    0.01  0e+00
         256            64     float     sum     8.51    0.03    0.03  0e+00     8.51    0.03    0.03  0e+00
         512           128     float     sum     9.22    0.06    0.06  0e+00     8.56    0.06    0.06  0e+00
        1024           256     float     sum     8.85    0.12    0.12  0e+00     8.59    0.12    0.12  0e+00
        2048           512     float     sum     9.12    0.22    0.22  0e+00     8.77    0.23    0.23  0e+00
        4096          1024     float     sum     9.45    0.43    0.43  0e+00     9.15    0.45    0.45  0e+00
        8192          2048     float     sum    10.44    0.78    0.78  0e+00    10.16    0.81    0.81  0e+00
       16384          4096     float     sum    14.86    1.10    1.10  0e+00    14.71    1.11    1.11  0e+00
       32768          8192     float     sum    17.53    1.87    1.87  0e+00    17.39    1.88    1.88  0e+00
       65536         16384     float     sum    23.96    2.74    2.74  0e+00    22.71    2.89    2.89  0e+00
      131072         32768     float     sum    34.52    3.80    3.80  0e+00    34.34    3.82    3.82  0e+00
      262144         65536     float     sum    46.20    5.67    5.67  0e+00    46.23    5.67    5.67  0e+00
      524288        131072     float     sum    49.01   10.70   10.70  0e+00    48.66   10.77   10.77  0e+00
     1048576        262144     float     sum    59.46   17.63   17.63  0e+00    60.17   17.43   17.43  0e+00
     2097152        524288     float     sum    68.69   30.53   30.53  0e+00    66.15   31.70   31.70  0e+00
     4194304       1048576     float     sum    76.59   54.76   54.76  0e+00    76.44   54.87   54.87  0e+00
     8388608       2097152     float     sum    103.3   81.20   81.20  0e+00    101.6   82.55   82.55  0e+00
    16777216       4194304     float     sum    136.4  123.03  123.03  0e+00    137.0  122.48  122.48  0e+00
    33554432       8388608     float     sum    229.6  146.17  146.17  0e+00    225.6  148.75  148.75  0e+00
    67108864      16777216     float     sum    388.4  172.78  172.78  0e+00    388.7  172.65  172.65  0e+00
   134217728      33554432     float     sum    734.6  182.70  182.70  0e+00    742.9  180.68  180.68  0e+00
   268435456      67108864     float     sum   1391.8  192.87  192.87  0e+00   1390.9  192.99  192.99  0e+00
   536870912     134217728     float     sum   2698.3  198.96  198.96  0e+00   2695.0  199.21  199.21  0e+00
  1073741824     268435456     float     sum   5203.1  206.37  206.37  0e+00   5183.1  207.16  207.16  0e+00
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 51.3018 
#
