# nThread 1 nGpus 4 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 5 iters: 20 validation: 1 
#
# Using devices
#   Rank  0 Pid  63417 on msrhpc-msccl-000000 device  0 [0x00] A100-SXM4-40GB
#   Rank  1 Pid  63417 on msrhpc-msccl-000000 device  1 [0x00] A100-SXM4-40GB
#   Rank  2 Pid  63417 on msrhpc-msccl-000000 device  2 [0x00] A100-SXM4-40GB
#   Rank  3 Pid  63417 on msrhpc-msccl-000000 device  3 [0x00] A100-SXM4-40GB
#
#                                                       out-of-place                       in-place          
#       size         count      type   redop     time   algbw   busbw  error     time   algbw   busbw  error
#        (B)    (elements)                       (us)  (GB/s)  (GB/s)            (us)  (GB/s)  (GB/s)       
           8             2     float     sum    16.42    0.00    0.00  1e-07    16.35    0.00    0.00  0e+00
          16             4     float     sum    16.32    0.00    0.00  3e-08    16.72    0.00    0.00  3e-08
          32             8     float     sum    16.33    0.00    0.00  3e-08    15.99    0.00    0.00  3e-08
          64            16     float     sum    16.01    0.00    0.01  3e-08    16.19    0.00    0.01  3e-08
         128            32     float     sum    16.05    0.01    0.01  3e-08    16.20    0.01    0.01  3e-08
         256            64     float     sum    16.17    0.02    0.02  3e-08    16.06    0.02    0.02  3e-08
         512           128     float     sum    15.83    0.03    0.05  3e-08    16.20    0.03    0.05  1e-08
        1024           256     float     sum    16.10    0.06    0.10  1e-07    15.91    0.06    0.10  1e-07
        2048           512     float     sum    16.69    0.12    0.18  1e-07    16.12    0.13    0.19  1e-07
        4096          1024     float     sum    16.11    0.25    0.38  2e-07    16.08    0.25    0.38  2e-07
        8192          2048     float     sum    16.32    0.50    0.75  2e-07    16.21    0.51    0.76  2e-07
       16384          4096     float     sum    15.94    1.03    1.54  2e-07    16.30    1.01    1.51  2e-07
       32768          8192     float     sum    19.78    1.66    2.48  2e-07    19.42    1.69    2.53  2e-07
       65536         16384     float     sum    22.93    2.86    4.29  2e-07    22.44    2.92    4.38  2e-07
      131072         32768     float     sum    27.79    4.72    7.07  2e-07    27.55    4.76    7.14  2e-07
      262144         65536     float     sum    40.55    6.47    9.70  2e-07    39.74    6.60    9.90  2e-07
      524288        131072     float     sum    53.87    9.73   14.60  2e-07    54.99    9.53   14.30  2e-07
     1048576        262144     float     sum    66.24   15.83   23.74  2e-07    66.84   15.69   23.53  2e-07
     2097152        524288     float     sum    73.78   28.43   42.64  2e-07    73.46   28.55   42.82  2e-07
     4194304       1048576     float     sum    88.76   47.26   70.88  2e-07    90.05   46.58   69.87  2e-07
     8388608       2097152     float     sum    128.5   65.30   97.95  2e-07    126.7   66.20   99.30  2e-07
    16777216       4194304     float     sum    187.0   89.72  134.57  2e-07    187.4   89.54  134.32  2e-07
    33554432       8388608     float     sum    279.2  120.20  180.30  2e-07    278.3  120.57  180.86  2e-07
    67108864      16777216     float     sum    518.4  129.46  194.19  2e-07    517.8  129.59  194.39  2e-07
   134217728      33554432     float     sum    953.1  140.82  211.22  2e-07    953.1  140.82  211.23  2e-07
   268435456      67108864     float     sum   1865.4  143.90  215.85  2e-07   1867.3  143.76  215.64  2e-07
   536870912     134217728     float     sum   3635.1  147.69  221.54  2e-07   3633.9  147.74  221.61  2e-07
  1073741824     268435456     float     sum   7173.7  149.68  224.52  2e-07   7169.6  149.76  224.64  2e-07
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 59.2517 
#
