# nThread 1 nGpus 8 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 5 iters: 20 validation: 1 
#
# Using devices
#   Rank  0 Pid  63453 on msrhpc-msccl-000000 device  0 [0x00] A100-SXM4-40GB
#   Rank  1 Pid  63453 on msrhpc-msccl-000000 device  1 [0x00] A100-SXM4-40GB
#   Rank  2 Pid  63453 on msrhpc-msccl-000000 device  2 [0x00] A100-SXM4-40GB
#   Rank  3 Pid  63453 on msrhpc-msccl-000000 device  3 [0x00] A100-SXM4-40GB
#   Rank  4 Pid  63453 on msrhpc-msccl-000000 device  4 [0x00] A100-SXM4-40GB
#   Rank  5 Pid  63453 on msrhpc-msccl-000000 device  5 [0x00] A100-SXM4-40GB
#   Rank  6 Pid  63453 on msrhpc-msccl-000000 device  6 [0x00] A100-SXM4-40GB
#   Rank  7 Pid  63453 on msrhpc-msccl-000000 device  7 [0x00] A100-SXM4-40GB
#
#                                                       out-of-place                       in-place          
#       size         count      type   redop     time   algbw   busbw  error     time   algbw   busbw  error
#        (B)    (elements)                       (us)  (GB/s)  (GB/s)            (us)  (GB/s)  (GB/s)       
           8             2     float     sum    31.44    0.00    0.00  1e-07    32.30    0.00    0.00  1e-07
          16             4     float     sum    31.02    0.00    0.00  1e-07    30.62    0.00    0.00  1e-07
          32             8     float     sum    31.72    0.00    0.00  6e-08    30.54    0.00    0.00  6e-08
          64            16     float     sum    30.49    0.00    0.00  6e-08    30.66    0.00    0.00  6e-08
         128            32     float     sum    31.64    0.00    0.01  6e-08    30.90    0.00    0.01  6e-08
         256            64     float     sum    30.97    0.01    0.01  3e-08    32.40    0.01    0.01  3e-08
         512           128     float     sum    30.78    0.02    0.03  3e-08    30.54    0.02    0.03  3e-08
        1024           256     float     sum    32.10    0.03    0.06  1e-07    30.90    0.03    0.06  1e-07
        2048           512     float     sum    30.73    0.07    0.12  2e-07    32.01    0.06    0.11  2e-07
        4096          1024     float     sum    31.12    0.13    0.23  2e-07    30.87    0.13    0.23  2e-07
        8192          2048     float     sum    31.03    0.26    0.46  2e-07    32.77    0.25    0.44  2e-07
       16384          4096     float     sum    31.43    0.52    0.91  2e-07    31.00    0.53    0.92  2e-07
       32768          8192     float     sum    32.85    1.00    1.75  2e-07    30.68    1.07    1.87  2e-07
       65536         16384     float     sum    32.75    2.00    3.50  2e-07    33.85    1.94    3.39  2e-07
      131072         32768     float     sum    35.56    3.69    6.45  2e-07    35.94    3.65    6.38  2e-07
      262144         65536     float     sum    45.11    5.81   10.17  2e-07    44.89    5.84   10.22  2e-07
      524288        131072     float     sum    57.78    9.07   15.88  2e-07    56.87    9.22   16.13  2e-07
     1048576        262144     float     sum    72.53   14.46   25.30  2e-07    70.07   14.96   26.19  2e-07
     2097152        524288     float     sum    87.70   23.91   41.85  2e-07    85.93   24.41   42.71  2e-07
     4194304       1048576     float     sum    105.7   39.68   69.44  2e-07    108.4   38.71   67.74  2e-07
     8388608       2097152     float     sum    149.8   56.02   98.03  2e-07    147.5   56.87   99.53  2e-07
    16777216       4194304     float     sum    235.6   71.20  124.60  2e-07    235.0   71.40  124.96  2e-07
    33554432       8388608     float     sum    361.0   92.96  162.67  2e-07    357.5   93.86  164.25  2e-07
    67108864      16777216     float     sum    566.1  118.54  207.44  2e-07    568.1  118.13  206.74  2e-07
   134217728      33554432     float     sum   1119.4  119.90  209.83  2e-07   1119.8  119.85  209.75  2e-07
   268435456      67108864     float     sum   2096.0  128.07  224.12  2e-07   2094.2  128.18  224.31  2e-07
   536870912     134217728     float     sum   4144.1  129.55  226.71  2e-07   4144.0  129.55  226.72  2e-07
  1073741824     268435456     float     sum   8139.2  131.92  230.86  2e-07   8139.6  131.92  230.85  2e-07
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 59.3571 
#
