# nThread 1 nGpus 1 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 5 iters: 20 validation: 1 
#
# Using devices
#   Rank  0 Pid   3781 on nccl-dev-00003O device  0 [0x00] A100-SXM4-40GB
#
#                                                     out-of-place                       in-place          
#       size         count    type   redop     time   algbw   busbw  error     time   algbw   busbw  error
#        (B)    (elements)                     (us)  (GB/s)  (GB/s)            (us)  (GB/s)  (GB/s)       
           8             2   float     sum     4.38    0.00    0.00  0e+00     0.48    0.02    0.00  0e+00
          16             4   float     sum     4.35    0.00    0.00  0e+00     0.47    0.03    0.00  0e+00
          32             8   float     sum     4.35    0.01    0.00  0e+00     0.46    0.07    0.00  0e+00
          64            16   float     sum     4.40    0.01    0.00  0e+00     0.47    0.14    0.00  0e+00
         128            32   float     sum     4.43    0.03    0.00  0e+00     0.46    0.28    0.00  0e+00
         256            64   float     sum     4.38    0.06    0.00  0e+00     0.46    0.56    0.00  0e+00
         512           128   float     sum     5.21    0.10    0.00  0e+00     0.47    1.10    0.00  0e+00
        1024           256   float     sum     4.34    0.24    0.00  0e+00     0.46    2.22    0.00  0e+00
        2048           512   float     sum     4.37    0.47    0.00  0e+00     0.47    4.35    0.00  0e+00
        4096          1024   float     sum     4.42    0.93    0.00  0e+00     0.47    8.74    0.00  0e+00
        8192          2048   float     sum     4.36    1.88    0.00  0e+00     0.47   17.57    0.00  0e+00
       16384          4096   float     sum     4.35    3.76    0.00  0e+00     0.46   35.86    0.00  0e+00
       32768          8192   float     sum     4.37    7.49    0.00  0e+00     0.46   70.72    0.00  0e+00
       65536         16384   float     sum     4.39   14.92    0.00  0e+00     0.46  141.13    0.00  0e+00
      131072         32768   float     sum     4.42   29.63    0.00  0e+00     0.46  282.88    0.00  0e+00
      262144         65536   float     sum     4.56   57.44    0.00  0e+00     0.47  560.92    0.00  0e+00
      524288        131072   float     sum     4.66  112.53    0.00  0e+00     0.46  1140.13    0.00  0e+00
     1048576        262144   float     sum     6.54  160.31    0.00  0e+00     0.47  2243.66    0.00  0e+00
     2097152        524288   float     sum     8.12  258.33    0.00  0e+00     0.46  4510.97    0.00  0e+00
     4194304       1048576   float     sum    11.92  351.93    0.00  0e+00     0.47  8917.41    0.00  0e+00
     8388608       2097152   float     sum    18.09  463.68    0.00  0e+00     0.47  18007.10    0.00  0e+00
    16777216       4194304   float     sum    30.26  554.43    0.00  0e+00     0.47  35783.76    0.00  0e+00
    33554432       8388608   float     sum    56.03  598.87    0.00  0e+00     0.47  70954.60    0.00  0e+00
    67108864      16777216   float     sum    106.5  630.21    0.00  0e+00     0.47  141909.21    0.00  0e+00
   134217728      33554432   float     sum    208.0  645.16    0.00  0e+00     0.47  283219.51    0.00  0e+00
   268435456      67108864   float     sum    408.1  657.75    0.00  0e+00     0.47  568899.98    0.00  0e+00
   536870912     134217728   float     sum    814.7  658.98    0.00  0e+00     0.48  1123395.92    0.00  0e+00
  1073741824     268435456   float     sum   1621.1  662.33    0.00  0e+00     0.47  2260985.10    0.00  0e+00
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 0 
#
