# nThread 1 nGpus 2 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 5 iters: 20 validation: 1 
#
# Using devices
#   Rank  0 Pid   3805 on nccl-dev-00003O device  0 [0x00] A100-SXM4-40GB
#   Rank  1 Pid   3805 on nccl-dev-00003O device  1 [0x00] A100-SXM4-40GB
#
#                                                     out-of-place                       in-place          
#       size         count    type   redop     time   algbw   busbw  error     time   algbw   busbw  error
#        (B)    (elements)                     (us)  (GB/s)  (GB/s)            (us)  (GB/s)  (GB/s)       
           8             2   float     sum    10.39    0.00    0.00  0e+00    10.34    0.00    0.00  0e+00
          16             4   float     sum    10.33    0.00    0.00  0e+00    10.35    0.00    0.00  0e+00
          32             8   float     sum    10.42    0.00    0.00  0e+00    10.35    0.00    0.00  0e+00
          64            16   float     sum    10.47    0.01    0.01  0e+00    10.40    0.01    0.01  0e+00
         128            32   float     sum    10.46    0.01    0.01  0e+00    10.36    0.01    0.01  0e+00
         256            64   float     sum    10.31    0.02    0.02  0e+00    10.27    0.02    0.02  0e+00
         512           128   float     sum    10.40    0.05    0.05  0e+00    10.30    0.05    0.05  0e+00
        1024           256   float     sum    11.03    0.09    0.09  0e+00    10.43    0.10    0.10  0e+00
        2048           512   float     sum    10.79    0.19    0.19  0e+00    10.64    0.19    0.19  0e+00
        4096          1024   float     sum    11.40    0.36    0.36  0e+00    11.14    0.37    0.37  0e+00
        8192          2048   float     sum    12.65    0.65    0.65  0e+00    12.36    0.66    0.66  0e+00
       16384          4096   float     sum    17.47    0.94    0.94  0e+00    17.79    0.92    0.92  0e+00
       32768          8192   float     sum    19.95    1.64    1.64  0e+00    20.39    1.61    1.61  0e+00
       65536         16384   float     sum    25.89    2.53    2.53  0e+00    25.47    2.57    2.57  0e+00
      131072         32768   float     sum    37.22    3.52    3.52  0e+00    37.19    3.52    3.52  0e+00
      262144         65536   float     sum    50.21    5.22    5.22  0e+00    49.90    5.25    5.25  0e+00
      524288        131072   float     sum    52.29   10.03   10.03  0e+00    52.29   10.03   10.03  0e+00
     1048576        262144   float     sum    66.56   15.75   15.75  0e+00    67.03   15.64   15.64  0e+00
     2097152        524288   float     sum    75.95   27.61   27.61  0e+00    74.76   28.05   28.05  0e+00
     4194304       1048576   float     sum    88.87   47.19   47.19  0e+00    95.03   44.14   44.14  0e+00
     8388608       2097152   float     sum    118.7   70.69   70.69  0e+00    120.2   69.76   69.76  0e+00
    16777216       4194304   float     sum    159.4  105.22  105.22  0e+00    158.5  105.88  105.88  0e+00
    33554432       8388608   float     sum    261.8  128.17  128.17  0e+00    260.1  128.98  128.98  0e+00
    67108864      16777216   float     sum    418.4  160.39  160.39  0e+00    418.9  160.19  160.19  0e+00
   134217728      33554432   float     sum    742.2  180.84  180.84  0e+00    741.5  181.00  181.00  0e+00
   268435456      67108864   float     sum   1390.6  193.03  193.03  0e+00   1387.6  193.45  193.45  0e+00
   536870912     134217728   float     sum   2692.5  199.39  199.39  0e+00   2692.3  199.41  199.41  0e+00
  1073741824     268435456   float     sum   5150.8  208.46  208.46  0e+00   5153.0  208.37  208.37  0e+00
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 48.6115 
#
