# nThread 1 nGpus 4 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 5 iters: 20 validation: 1 
#
# Using devices
#   Rank  0 Pid   3833 on nccl-dev-00003O device  0 [0x00] A100-SXM4-40GB
#   Rank  1 Pid   3833 on nccl-dev-00003O device  1 [0x00] A100-SXM4-40GB
#   Rank  2 Pid   3833 on nccl-dev-00003O device  2 [0x00] A100-SXM4-40GB
#   Rank  3 Pid   3833 on nccl-dev-00003O device  3 [0x00] A100-SXM4-40GB
#
#                                                     out-of-place                       in-place          
#       size         count    type   redop     time   algbw   busbw  error     time   algbw   busbw  error
#        (B)    (elements)                     (us)  (GB/s)  (GB/s)            (us)  (GB/s)  (GB/s)       
           8             2   float     sum    17.94    0.00    0.00  1e-07    16.05    0.00    0.00  0e+00
          16             4   float     sum    16.71    0.00    0.00  3e-08    17.32    0.00    0.00  3e-08
          32             8   float     sum    15.95    0.00    0.00  3e-08    16.80    0.00    0.00  3e-08
          64            16   float     sum    16.20    0.00    0.01  3e-08    16.70    0.00    0.01  3e-08
         128            32   float     sum    15.90    0.01    0.01  3e-08    15.98    0.01    0.01  3e-08
         256            64   float     sum    17.54    0.01    0.02  3e-08    16.35    0.02    0.02  3e-08
         512           128   float     sum    16.60    0.03    0.05  3e-08    17.22    0.03    0.04  1e-08
        1024           256   float     sum    15.98    0.06    0.10  1e-07    16.63    0.06    0.09  1e-07
        2048           512   float     sum    18.04    0.11    0.17  1e-07    16.61    0.12    0.18  1e-07
        4096          1024   float     sum    16.33    0.25    0.38  2e-07    16.84    0.24    0.36  2e-07
        8192          2048   float     sum    18.22    0.45    0.67  2e-07    17.14    0.48    0.72  2e-07
       16384          4096   float     sum    19.57    0.84    1.26  2e-07    18.19    0.90    1.35  2e-07
       32768          8192   float     sum    23.74    1.38    2.07  2e-07    23.29    1.41    2.11  2e-07
       65536         16384   float     sum    26.26    2.50    3.74  2e-07    26.50    2.47    3.71  2e-07
      131072         32768   float     sum    32.21    4.07    6.10  2e-07    31.54    4.16    6.23  2e-07
      262144         65536   float     sum    43.42    6.04    9.06  2e-07    43.22    6.07    9.10  2e-07
      524288        131072   float     sum    58.14    9.02   13.53  2e-07    57.42    9.13   13.70  2e-07
     1048576        262144   float     sum    75.07   13.97   20.95  2e-07    74.33   14.11   21.16  2e-07
     2097152        524288   float     sum    83.36   25.16   37.74  2e-07    84.70   24.76   37.14  2e-07
     4194304       1048576   float     sum    102.9   40.76   61.15  2e-07    102.6   40.87   61.31  2e-07
     8388608       2097152   float     sum    148.2   56.61   84.92  2e-07    146.2   57.39   86.08  2e-07
    16777216       4194304   float     sum    222.8   75.29  112.94  2e-07    218.0   76.97  115.46  2e-07
    33554432       8388608   float     sum    310.4  108.10  162.15  2e-07    301.3  111.36  167.04  2e-07
    67108864      16777216   float     sum    555.1  120.90  181.35  2e-07    554.2  121.09  181.63  2e-07
   134217728      33554432   float     sum    998.9  134.37  201.56  2e-07    997.7  134.53  201.79  2e-07
   268435456      67108864   float     sum   1939.3  138.42  207.63  2e-07   1891.2  141.94  212.91  2e-07
   536870912     134217728   float     sum   3632.7  147.79  221.68  2e-07   3633.0  147.78  221.66  2e-07
  1073741824     268435456   float     sum   7160.1  149.96  224.94  2e-07   7154.5  150.08  225.12  2e-07
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 55.7701 
#
