# nThread 1 nGpus 8 minBytes 8 maxBytes 1073741824 step: 2(factor) warmup iters: 5 iters: 20 validation: 1 
#
# Using devices
#   Rank  0 Pid   3869 on nccl-dev-00003O device  0 [0x00] A100-SXM4-40GB
#   Rank  1 Pid   3869 on nccl-dev-00003O device  1 [0x00] A100-SXM4-40GB
#   Rank  2 Pid   3869 on nccl-dev-00003O device  2 [0x00] A100-SXM4-40GB
#   Rank  3 Pid   3869 on nccl-dev-00003O device  3 [0x00] A100-SXM4-40GB
#   Rank  4 Pid   3869 on nccl-dev-00003O device  4 [0x00] A100-SXM4-40GB
#   Rank  5 Pid   3869 on nccl-dev-00003O device  5 [0x00] A100-SXM4-40GB
#   Rank  6 Pid   3869 on nccl-dev-00003O device  6 [0x00] A100-SXM4-40GB
#   Rank  7 Pid   3869 on nccl-dev-00003O device  7 [0x00] A100-SXM4-40GB
#
#                                                     out-of-place                       in-place          
#       size         count    type   redop     time   algbw   busbw  error     time   algbw   busbw  error
#        (B)    (elements)                     (us)  (GB/s)  (GB/s)            (us)  (GB/s)  (GB/s)       
           8             2   float     sum    33.80    0.00    0.00  1e-07    35.39    0.00    0.00  1e-07
          16             4   float     sum    34.71    0.00    0.00  1e-07    34.86    0.00    0.00  1e-07
          32             8   float     sum    34.18    0.00    0.00  6e-08    33.88    0.00    0.00  6e-08
          64            16   float     sum    34.99    0.00    0.00  6e-08    33.84    0.00    0.00  6e-08
         128            32   float     sum    35.61    0.00    0.01  6e-08    34.35    0.00    0.01  6e-08
         256            64   float     sum    33.40    0.01    0.01  3e-08    34.58    0.01    0.01  3e-08
         512           128   float     sum    34.22    0.01    0.03  3e-08    34.36    0.01    0.03  3e-08
        1024           256   float     sum    34.07    0.03    0.05  1e-07    34.24    0.03    0.05  1e-07
        2048           512   float     sum    35.39    0.06    0.10  2e-07    33.68    0.06    0.11  2e-07
        4096          1024   float     sum    34.97    0.12    0.20  2e-07    35.07    0.12    0.20  2e-07
        8192          2048   float     sum    33.68    0.24    0.43  2e-07    34.67    0.24    0.41  2e-07
       16384          4096   float     sum    34.70    0.47    0.83  2e-07    34.47    0.48    0.83  2e-07
       32768          8192   float     sum    34.68    0.94    1.65  2e-07    34.36    0.95    1.67  2e-07
       65536         16384   float     sum    37.07    1.77    3.09  2e-07    37.44    1.75    3.06  2e-07
      131072         32768   float     sum    42.04    3.12    5.46  2e-07    40.32    3.25    5.69  2e-07
      262144         65536   float     sum    47.60    5.51    9.64  2e-07    47.16    5.56    9.73  2e-07
      524288        131072   float     sum    59.58    8.80   15.40  2e-07    60.12    8.72   15.26  2e-07
     1048576        262144   float     sum    78.63   13.34   23.34  2e-07    78.99   13.27   23.23  2e-07
     2097152        524288   float     sum    100.3   20.92   36.60  2e-07    98.57   21.28   37.23  2e-07
     4194304       1048576   float     sum    122.9   34.12   59.71  2e-07    125.6   33.40   58.46  2e-07
     8388608       2097152   float     sum    181.5   46.21   80.87  2e-07    173.7   48.30   84.52  2e-07
    16777216       4194304   float     sum    286.5   58.57  102.49  2e-07    284.1   59.05  103.34  2e-07
    33554432       8388608   float     sum    413.3   81.18  142.07  2e-07    415.4   80.77  141.36  2e-07
    67108864      16777216   float     sum    657.3  102.10  178.68  2e-07    656.5  102.22  178.89  2e-07
   134217728      33554432   float     sum   1308.7  102.56  179.47  2e-07   1299.4  103.29  180.76  2e-07
   268435456      67108864   float     sum   2393.0  112.18  196.31  2e-07   2382.6  112.67  197.16  2e-07
   536870912     134217728   float     sum   4703.2  114.15  199.76  2e-07   4695.2  114.35  200.10  2e-07
  1073741824     268435456   float     sum   9210.2  116.58  204.02  2e-07   9200.6  116.70  204.23  2e-07
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 51.5462 
#
